Modelo do Avião,Cia Aérea,País,Pedidos Firmes,Entregas,Pedidos Firmes em Carteira
EMBRAER 170 (E170),Airnorth,Austrália,1,1,0
EMBRAER 170 (E170),Alitalia,Itália,6,6,0
EMBRAER 170 (E170),BA CityFlyer,Reino Unido,6,6,0
EMBRAER 170 (E170),Cirrus,Alemanha,1,1,0
EMBRAER 170 (E170),ECC Leasing,Irlanda,6,6,0
EMBRAER 170 (E170),EgyptAir,Egito,12,12,0
EMBRAER 170 (E170),Finnair,Finlândia,10,10,0
EMBRAER 170 (E170),GECAS,EUA,9,9,0
EMBRAER 170 (E170),JAL,Japão,18,18,0
EMBRAER 170 (E170),LOT Polish,Polônia,6,6,0
EMBRAER 170 (E170),NAC / Jetscape,EUA,1,1,0
EMBRAER 170 (E170),Petro Air,Líbia,2,2,0
EMBRAER 170 (E170),Regional,França,10,10,0
EMBRAER 170 (E170),Republic Airlines,EUA,48,48,0
EMBRAER 170 (E170),Satena,Colômbia,1,1,0
EMBRAER 170 (E170),Saudi Arabian Airlines,Arábia Saudita,15,15,0
EMBRAER 170 (E170),Sirte Oil,Líbia,1,1,0
EMBRAER 170 (E170),Suzuyo,Japão,2,2,0
EMBRAER 170 (E170),TAME,Equador,2,2,0
EMBRAER 170 (E170),US Airways,EUA,28,28,0
EMBRAER 170 (E170),Virgin Australia,Austrália,6,6,0
EMBRAER 175 (E175),Air Canada,Canadá,15,15,0
EMBRAER 175 (E175),Air Lease,EUA,8,8,0
EMBRAER 175 (E175),Air Peace,Nigéria,5,0,5
EMBRAER 175 (E175),Alitalia,Itália,2,2,0
EMBRAER 175 (E175),American Airlines,EUA,108,101,7
EMBRAER 175 (E175),Belavia,Bielorrússia,1,1,0
EMBRAER 175 (E175),CIT,EUA,4,4,0
EMBRAER 175 (E175),ECC Leasing,Irlanda,1,1,0
EMBRAER 175 (E175),Flybe,Reino Unido,11,11,0
EMBRAER 175 (E175),Fuji Dream,Japão,2,2,0
EMBRAER 175 (E175),GECAS,EUA,5,5,0
EMBRAER 175 (E175),Horizon Air,EUA,50,41,9
EMBRAER 175 (E175),KLM,Países Baixos,17,17,0
EMBRAER 175 (E175),LOT Polish,Polônia,12,12,0
EMBRAER 175 (E175),Mauritânia Airlines,Mauritânia,2,2,0
EMBRAER 175 (E175),Mesa,EUA,7,7,0
EMBRAER 175 (E175),NAC / Aldus,Irlanda,2,2,0
EMBRAER 175 (E175),NAC / Jetscape,EUA,4,4,0
EMBRAER 175 (E175),Northwest,EUA,36,36,0
EMBRAER 175 (E175),Oman Air,Omã,5,5,0
EMBRAER 175 (E175),Overland Airways,Nigéria,3,1,2
EMBRAER 175 (E175),Republic Airlines,EUA,187,136,51
EMBRAER 175 (E175),Royal Jordanian,Jordânia,2,2,0
EMBRAER 175 (E175),Skywest,EUA,228,205,23
